Project, URL
Animus, https://github.com/SplittyDev/Animus
cachish, https://github.com/thusoy/cachish
DCAN, https://github.com/DecentralizedCAN/CAN
DimeNet, https://github.com/klicperajo/dimenet
FODA Card Game, https://github.com/rafaelcastrocouto/foda
format_parser, https://rubygems.org/gems/format_parser
Functional Programming for Mortals with Cats in Scala (book), https://leanpub.com/fpmortals-cats
Gryphon, https://github.com/vinivendra/Gryphon
Honeycomb Serilog Sink, https://github.com/evilpilaf/HoneycombSerilogSink
Initiative Solidaires, http://initiativessolidaires.fr
Launchlet, https://github.com/launchlet/launchlet
leisure, https://leisure.tdreyno.com
libhoney-kotlin,https://github.com/imavroukakis/libhoney-kotlin
logitechd, https://github.com/FFY00/logitechd
NLPIA-bot Chatbot, https://github.com/nlpia/nlpia-bot
Pangolin, https://pangolinjs.org
python-install, https://github.com/FFY00/python-install
postgres-mitm, https://github.com/thusoy/postgres-mitm
rack-read_only, https://rubygems.org/gems/rack-read_only
react-leaflet, https://github.com/PaulLeCam/react-leaflet
suo, https://github.com/dieseltravis/suo
TidyBlocks, http://tidyblocks.tech
VCR, https://github.com/vcr/vcr
zip_tricks, https://github.com/wetransfer/zip_tricks
